Game,Date,Dennis,Fabiano,Luke,Average ,Best of the Month
Point Salad,23-Feb-2023,7.0,7,6.7,6.9,
Space Base: Shy Pluto,28-Feb-2023,7.5,7,7,7.2,
Pandemic Legacy: Season 2,28-Feb-2023,6.5,6.5,7.1,6.7,
Rolling Heights,1-Mar-2023,7.5,7.5,7,7.3,
Mechs vs. Minions,7-Mar-2023,8.5,8,8.5,8.3,Mechs vs. Minions (44992)
Break the Code,7-Mar-2023,9,7.5,7.3,7.9,
Imperial Settlers: Empires of the North,9-Mar-2023,7,7.5,7.6,7.4,
Stella (app),11-Mar-2023,8.0,9,7.5,8.2,
Hive Mind (app),11-Mar-2023,9.0,8,7.4,8.1,
Secret Identity (app),11-Mar-2023,9.0,8,7,8.0,
Obscurio (app),11-Mar-2023,8.5,8,7,7.8,
"Crew: Mission Deep Sea, The ",21-Mar-2023,8.0,8,8.5,8.2,
Pandemic Legacy: Season 2,21-Mar-2023,7.0,7,6.5,6.8,
Pandemic Legacy: Season 2,21-Mar-2023,7.0,7,6.5,6.8,
Mechs vs. Minions,22-Mar-2023,8.5,8,8.5,8.3,Mechs vs. Minions (45007)
Similo,22-Mar-2023,7.5,6.5,6.5,6.8,
Earth,29-Mar-2023,7,7,7.2,7.1,
Vagrantsong,30-Mar-2023,8.0,6,7.2,7.1,
Mechs vs. Minions,4-Apr-2023,9,8,8.7,8.6,Mechs vs. Minions (45020)
Dive,4-Apr-2023,6.5,6.9,6.4,6.6,
KuZOOka,6-Apr-2023,7.5,7.5,7.4,7.5,
Paleo,6-Apr-2023,6.5,5,6,5.8,
Happy Salmon,8-Apr-2023,8.0,8,6.1,7.4,
KuZOOka,8-Apr-2023,7.5,7.5,7.4,7.5,
Dodos Riding Dinos,8-Apr-2023,9.5,7.25,5,7.3,
Haiclue,8-Apr-2023,9.0,6.5,7,7.5,
Ooga Booga,8-Apr-2023,6.5,6.5,6.8,6.6,
Bites,8-Apr-2023,,,6,6.0,
Century: Golem Edition,11-Apr-2023,8,7.5,8.5,8.0,
Pandemic Legacy: Season 2,11-Apr-2023,6.5,6,6.3,6.3,
Pandemic Legacy: Season 2,11-Apr-2023,6.5,6,6.3,6.3,
Whistle Mountain,13-Apr-2023,7,7,6.4,6.8,
Mechs vs. Minions,18-Apr-2023,9,8,8.7,8.6,Mechs vs. Minions (45034)
Four Gardens,18-Apr-2023,7.5,7,6.4,7.0,
Santa Maria,19-Apr-2023,8,7,7.3,7.4,
Vagrantsong,25-Apr-2023,7.5,6,7.2,6.9,
Gugong,26-Apr-2023,7.0,6.5,7.3,6.9,
Libertalia: Winds of Galecrest,29-Apr-2023,7.5,8,5.5,7.0,
Namiji,29-Apr-2023,7.5,7.5,7,7.3,
Illusion,29-Apr-2023,7.0,7,6.7,6.9,
Hidden Leaders,29-Apr-2023,7.0,7,6,6.7,
Paperback,3-May-2023,7,7,7.1,7.0,
Pandemic Legacy: Season 2,3-May-2023,5.5,5.5,6.3,5.8,
Project: ELITE,6-May-2023,9.5,9,9,9.2,Project: ELITE (45052)
Turing Machine,6-May-2023,9.5,7.5,7.7,8.2,
Turing Machine,6-May-2023,9.5,7.5,7.7,8.2,
One Two Many Rabbits,6-May-2023,8,7,7,7.3,
Mechs vs. Minions,16-May-2023,9,8.5,8.7,8.7,
Turing Machine,16-May-2023,9.5,7.5,7.7,8.2,
Project: ELITE,17-May-2023,9.5,9,9,9.2,Project: ELITE (45063)
"Crew: Mission Deep Sea, The ",17-May-2023,8,8,8.5,8.2,
Dice Miner,17-May-2023,8,7,7.5,7.5,
Gloomhaven: Jaws of the Lion,23-May-2023,8,7.5,8,7.8,
Gloomhaven: Jaws of the Lion,23-May-2023,8,7.5,8,7.8,
Aquatica,24-May-2023,9,7.5,7.5,8.0,
Mille Fiori,24-May-2023,7,7,7.4,7.1,
Valor & Villainy: Lludwik’s Labyrinth,30-May-2023,8,7.5,7.6,7.7,
Illiterati,31-May-2023,7.5,7,7.2,7.2,
Tiwanaku,31-May-2023,6,5,6.5,5.8,
Project L,6-Jun-2023,8.5,7.5,7.4,7.8,
Pandemic Legacy: Season 2,6-Jun-2023,7.5,6,6.5,6.7,
IKI,7-Jun-2023,7,7,7.3,7.1,
Mechs vs. Minions,13-Jun-2023,9,8.5,9,8.8,Mechs vs. Minions (45090)
Next Station: London,13-Jun-2023,7,7.5,7.1,7.2,
Books of Time,14-Jun-2023,7.5,7,7.5,7.3,
"Crew: Mission Deep Sea, The ",17-Jun-2023,8,8,8.5,8.2,
Mystic Paths,17-Jun-2023,8.5,7.5,7.7,7.9,
New York Slice,17-Jun-2023,7.5,7,6.7,7.1,
Paranormal Detectives,17-Jun-2023,6.5,6.5,6.7,6.6,
Vagrantsong,20-Jun-2023,6.5,5,7.2,6.2,
Tiny Epic Pirates,21-Jun-2023,8,6.5,6.7,7.1,
Gloomhaven: Jaws of the Lion,26-Jun-2023,7.5,7.5,8,7.7,
Truffle Shuffle,6-Jul-2023,6.5,6.5,6.7,6.6,
Pandemic Legacy: Season 2,6-Jul-2023,7,6,6.5,6.5,
Pandemic Legacy: Season 2,6-Jul-2023,7,6,6.5,6.5,
Pictomania,8-Jul-2023,8.5,8.5,7,8.0,
Spicy,8-Jul-2023,6.5,7.5,6.4,6.8,
That’s a Question,8-Jul-2023,7,6,6.6,6.5,
Metro ,8-Jul-2023,6.5,6,6,6.2,
